Date;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.
08/2023;0.23
09/2023;0.26
10/2023;0.24
11/2023;0.28
12/2023;0.56
01/2024;0.42
02/2024;0.83
03/2024;0.16
04/2024;0.38
05/2024;0.46
06/2024;0.21
Source;IBGE
